acc.date,aircraft_type,operator,fatalities,damage
2022-09-21,Britten Norman BN-2A-8 Islander,Jags Aviation,0,sub
2022-09-21,Rockwell Sabreliner 65,private,0,w/o
2022-09-22,Boeing 737-8HC (WL),SunExpress,0,sub
2022-09-22,Antonov An-2R,Crop Protection Company,0,sub
2022-09-24,Boeing 737-436 (SF),"Swiftair, opf West Atlantic (UK)",0,sub
2022-09-25,Boeing 737-8V3 (WL),Copa Airlines,0,sub
2022-09-25,Fokker 50,Freedom Airline Express,0,sub
2022-09-27,Cessna 550 Citation II,ABS Equipment Leasing,0,sub
2022-09-28,Boeing 757-256 (WL),Icelandair Flugfélag Islands,0,sub
2022-09-28,Boeing 777-3B5ER,Korean Air,0,sub
2022-09-29,Boeing 737-7CT (WL),Southwest Airlines,0,non
2022-10-01,Boeing 737-8GJ (WL),Transavia France,0,sub
2022-10-03,Boeing 737-8Q3 (WL),Japan Transocean Air,0,non
2022-10-03,Embraer EMB-545 Legacy 450,Partee Aviation LLC,0,sub
2022-10-03,Britten-Norman BN-2A-21 Islander,Torres Strait Air,0,sub
2022-10-05,ATR 42-500,Sky Express,0,sub
2022-10-12,Honda HA-420 HondaJet,Jupiter Aviation LLC,0,sub
2022-10-13,de Havilland Canada DHC-3T Vazar Turbine Otter,True North Airways,0,w/o
2022-10-13,Cessna 208B Grand Caravan,SAETA Peru,0,w/o
2022-10-16,Cirrus SF50 Vision Jet G2,Panamerican Training Center - PTC,0,sub
2022-10-18,Beechcraft 99 Airliner,Flamingo Air Charter,0,sub
2022-10-19,de Havilland Canada DHC-8-314 Dash 8,Perimeter Aviation,0,sub
2022-10-22,Boeing 737-8AS (WL),Ryanair,0,non
2022-10-23,Airbus A330-322,Korean Air,0,sub
2022-10-25,Cessna 208B Grand Caravan,Reven Global Transpor,0,sub
2022-10-27,Canadair CL-215-6B11 (CL-415),Vigili del Fuoco,2,w/o
2022-10-28,Embraer EMB-110C Bandeirante,Fuerza Aérea Uruguaya - FAU,0,sub
2022-11-02,Airbus A319-132,Spirit Airlines,0,non
2022-11-03,Eclipse 550,Elite Flight Travel,0,sub
2022-11-03,Let L-410UVP-E20,Goma Express,3,w/o
2022-11-06,Cessna 208B Grand Caravan,Aviación Militar Bolivariana,5,w/o
2022-11-06,ATR 42-500,Precision Air,19,sub
2022-11-07,ATR 72-600 (72-212A),Japan Air Commuter,0,non
2022-11-09,Boeing 737-7H4 (WL),Southwest Airlines,0,sub
